datetime,participant_home_name,participant_home_goals_half,participant_home_goals_full,participant_away_name,participant_away_goals_half,participant_away_goals_full
2012-05-06T17:00:00,GKS Belchatow,1,2,Cracovia,2,2
2012-05-06T17:00:00,Jagiellonia,0,2,LKS Lodz,0,1
2012-05-06T17:00:00,Legia,0,1,Korona Kielce,0,0
2012-05-06T17:00:00,Podbeskidzie,0,1,Polonia Warszawa,1,1
2012-05-06T17:00:00,Ruch Chorzow,2,2,Lechia Gdansk,0,1
2012-05-06T17:00:00,Widzew Lodz,0,0,Lech Poznan,0,0
2012-05-06T17:00:00,Wisla,0,0,Slask Wroclaw,0,1
2012-05-06T17:00:00,Zaglebie,1,2,Gornik Z.,0,1
2012-05-03T18:00:00,Cracovia,0,0,Ruch Chorzow,0,2
2012-05-03T18:00:00,Gornik Z.,1,2,Wisla,0,0
2012-05-03T18:00:00,Korona Kielce,0,0,Widzew Lodz,2,2
2012-05-03T18:00:00,Lech Poznan,0,1,Podbeskidzie,0,0
2012-05-03T18:00:00,Lechia Gdansk,1,1,Legia,0,0
2012-05-03T18:00:00,LKS Lodz,1,1,GKS Belchatow,1,1
2012-05-03T18:00:00,Polonia Warszawa,0,0,Zaglebie,1,4
2012-05-03T18:00:00,Slask Wroclaw,2,3,Jagiellonia,0,1
2012-04-30T18:30:00,Wisla,1,1,Cracovia,0,0
2012-04-29T17:00:00,Legia,0,1,Jagiellonia,0,1
2012-04-29T14:30:00,Slask Wroclaw,1,2,Zaglebie,0,1
2012-04-28T18:00:00,Ruch Chorzow,1,2,LKS Lodz,2,2
2012-04-28T15:45:00,GKS Belchatow,0,0,Korona Kielce,2,2
2012-04-28T13:30:00,Widzew Lodz,0,0,Lechia Gdansk,1,1
2012-04-27T20:30:00,Lech Poznan,0,1,Polonia Warszawa,0,0
2012-04-27T18:00:00,Gornik Z.,1,3,Podbeskidzie,0,0
2012-04-23T18:30:00,LKS Lodz,0,0,Korona Kielce,2,2
2012-04-22T17:00:00,Lechia Gdansk,0,1,Slask Wroclaw,0,1
2012-04-22T14:30:00,Zaglebie,0,1,GKS Belchatow,0,1
2012-04-21T18:00:00,Podbeskidzie,0,1,Wisla,0,3
2012-04-21T15:45:00,Jagiellonia,1,2,Gornik Z.,0,1
2012-04-21T13:30:00,Legia,0,0,Lech Poznan,1,1
2012-04-20T20:30:00,Polonia Warszawa,0,0,Ruch Chorzow,0,1
2012-04-20T18:00:00,Cracovia,0,0,Widzew Lodz,0,0
2012-04-16T18:30:00,Polonia Warszawa,1,2,Cracovia,0,1
2012-04-15T17:00:00,Ruch Chorzow,0,0,Gornik Z.,0,0
2012-04-15T14:30:00,Lech Poznan,1,2,Lechia Gdansk,0,1
2012-04-14T18:00:00,Widzew Lodz,1,1,Legia,1,1
2012-04-14T15:45:00,Wisla,2,3,LKS Lodz,0,2
2012-04-14T13:30:00,Podbeskidzie,0,1,Slask Wroclaw,0,1
2012-04-13T20:30:00,Korona Kielce,0,0,Zaglebie,1,2
2012-04-13T18:00:00,GKS Belchatow,2,2,Jagiellonia,0,0
2012-04-09T18:30:00,Korona Kielce,2,2,Lech Poznan,0,2
2012-04-09T16:00:00,Lechia Gdansk,0,0,Zaglebie,1,1
2012-04-09T13:45:00,LKS Lodz,0,1,Widzew Lodz,0,1
2012-04-07T18:00:00,Jagiellonia,1,1,Wisla,0,0
2012-04-07T15:45:00,Slask Wroclaw,0,1,GKS Belchatow,0,0
2012-04-07T13:30:00,Legia,0,2,Ruch Chorzow,0,0
2012-04-05T18:45:00,Gornik Z.,0,1,Polonia Warszawa,0,0
2012-04-04T18:45:00,Cracovia,1,3,Podbeskidzie,1,1
2012-04-02T18:30:00,Zaglebie,1,2,Jagiellonia,0,1
2012-04-01T17:00:00,Polonia Warszawa,1,3,Slask Wroclaw,0,0
2012-04-01T14:30:00,Gornik Z.,2,2,Korona Kielce,0,0
2012-03-31T18:00:00,Lech Poznan,2,3,Cracovia,1,1
2012-03-31T15:45:00,Podbeskidzie,0,0,LKS Lodz,1,1
2012-03-31T13:30:00,Widzew Lodz,0,1,Ruch Chorzow,1,2
2012-03-30T20:30:00,Wisla,0,0,Legia,0,0
2012-03-30T18:00:00,GKS Belchatow,0,1,Lechia Gdansk,1,3
2012-03-28T18:45:00,Lech Poznan,0,1,Gornik Z.,0,0
2012-03-26T18:30:00,Korona Kielce,0,3,Polonia Warszawa,0,0
2012-03-25T17:00:00,Ruch Chorzow,0,1,Wisla,0,0
2012-03-25T14:30:00,Lech Poznan,0,2,Slask Wroclaw,0,0
2012-03-24T18:00:00,Legia,1,1,GKS Belchatow,0,1
2012-03-24T15:45:00,Lechia Gdansk,2,2,Podbeskidzie,2,3
2012-03-24T13:30:00,LKS Lodz,0,1,Zaglebie,0,2
2012-03-23T20:30:00,Cracovia,0,1,Gornik Z.,2,3
2012-03-23T18:00:00,Jagiellonia,2,4,Widzew Lodz,1,1
