datetime,participant_home_name,participant_home_goals_half,participant_home_goals_full,participant_away_name,participant_away_goals_half,participant_away_goals_full
2013-06-02T16:00:00,Jagiellonia,1,1,Ruch Chorzow,0,0
2013-06-02T16:00:00,Lech Poznan,1,2,Korona Kielce,0,0
2013-06-02T16:00:00,Lechia Gdansk,0,0,Gornik Z.,1,2
2013-06-02T16:00:00,Legia,4,5,Slask Wroclaw,0,0
2013-06-02T16:00:00,Piast Gliwice,0,2,GKS Belchatow,1,3
2013-06-02T16:00:00,Pogon Szczecin,1,3,Polonia Warszawa,1,1
2013-06-02T16:00:00,Widzew Lodz,0,1,Podbeskidzie,1,2
2013-06-02T16:00:00,Wisla,0,0,Zaglebie,0,1
2013-05-30T18:45:00,GKS Belchatow,0,1,Jagiellonia,0,1
2013-05-30T18:45:00,Korona Kielce,0,0,Widzew Lodz,0,0
2013-05-30T18:00:00,Gornik Z.,0,0,Wisla,1,1
2013-05-30T18:00:00,Podbeskidzie,2,2,Pogon Szczecin,0,1
2013-05-30T18:00:00,Polonia Warszawa,0,1,Piast Gliwice,0,1
2013-05-30T18:00:00,Ruch Chorzow,0,0,Legia,0,0
2013-05-30T18:00:00,Slask Wroclaw,0,1,Lech Poznan,1,1
2013-05-30T18:00:00,Zaglebie,0,0,Lechia Gdansk,3,3
2013-05-27T18:30:00,Zaglebie,0,0,Polonia Warszawa,0,0
2013-05-26T17:00:00,Jagiellonia,0,0,Slask Wroclaw,0,3
2013-05-26T14:30:00,Pogon Szczecin,1,1,Gornik Z.,0,0
2013-05-25T15:45:00,Lech Poznan,0,0,Podbeskidzie,2,2
2013-05-25T13:30:00,Lechia Gdansk,0,1,GKS Belchatow,1,1
2013-05-24T20:45:00,Widzew Lodz,1,1,Legia,0,1
2013-05-24T18:00:00,Wisla,1,1,Ruch Chorzow,1,1
2013-05-23T20:45:00,Piast Gliwice,1,1,Korona Kielce,1,1
2013-05-20T18:30:00,Widzew Lodz,1,1,Lechia Gdansk,0,2
2013-05-19T17:00:00,Korona Kielce,3,5,Jagiellonia,0,0
2013-05-19T14:30:00,GKS Belchatow,2,3,Zaglebie,2,2
2013-05-18T18:00:00,Gornik Z.,0,0,Polonia Warszawa,1,4
2013-05-18T15:45:00,Podbeskidzie,1,1,Piast Gliwice,0,2
2013-05-18T13:30:00,Legia,0,1,Lech Poznan,0,0
2013-05-17T20:45:00,Slask Wroclaw,2,3,Wisla,0,0
2013-05-17T18:00:00,Ruch Chorzow,0,2,Pogon Szczecin,2,3
2013-05-13T18:30:00,Zaglebie,1,1,Gornik Z.,2,2
2013-05-12T17:00:00,Lechia Gdansk,2,4,Ruch Chorzow,1,4
2013-05-12T14:30:00,Piast Gliwice,0,3,Slask Wroclaw,1,2
2013-05-11T18:00:00,Jagiellonia,0,0,Legia,1,3
2013-05-11T15:45:00,Wisla,1,3,Korona Kielce,0,0
2013-05-11T13:30:00,Pogon Szczecin,0,0,GKS Belchatow,0,1
2013-05-10T20:45:00,Lech Poznan,0,4,Widzew Lodz,0,0
2013-05-10T18:00:00,Polonia Warszawa,0,2,Podbeskidzie,1,1
2013-05-06T18:30:00,Ruch Chorzow,0,1,Piast Gliwice,0,2
2013-05-05T17:00:00,Slask Wroclaw,0,1,Pogon Szczecin,0,0
2013-05-05T14:30:00,Legia,0,1,Lechia Gdansk,0,0
2013-05-04T18:00:00,Lech Poznan,1,1,Wisla,0,0
2013-05-04T15:45:00,GKS Belchatow,1,2,Gornik Z.,0,0
2013-05-04T13:30:00,Widzew Lodz,1,3,Jagiellonia,0,0
2013-05-03T20:45:00,Korona Kielce,0,1,Polonia Warszawa,1,1
2013-05-03T18:00:00,Podbeskidzie,0,1,Zaglebie,1,1
